repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
trailofbits/blight,63,5,14,0,7,
antonmedv/codejar,0,87,14,1,20,Type
education/GitHubGraduation-2021,0,0,14,0,0,
defuse/defuse.ca,53,17,14,0,3,
offensive-security/nethunter-devices,217,207,13,3,30,
anshrathod/Basic--s,18,93,13,1,112,
offensive-security/kali-arm-build-s,805,397,13,1,13,
google/active-qa,339,69,13,0,0,
benfoxall/benfoxall.github.com,5,6,13,1,2,
yourcelf/btb,13,8,13,4,3,
antonmedv/fx,0,428,13,2,23,Go
ethereum/async-service,6,9,13,1,6,
openfoodfacts/fastlane-deions-smoothie,0,0,13,12,4,
ethereum/clef-ui,24,15,13,0,4,QML
Tyriar/atom-navigation-history,2,3,13,1,0,Coffee
davglass/cpr,76,29,13,5,15,
ethereum/builder-specs,67,13,13,3,9,
devongovett/atom-jade,51,26,13,3,15,
EddieHubCommunity/EddieHubCommunity.github.io,101,86,12,1,47,
HarshCasper/AllNotes,36,30,12,7,14,
EddieHubCommunity/EventCalendar,34,39,12,4,21,
vasu-1/pygithub-bot,8,1,12,0,2,
AnandBaburajan/Kukkee,231,46,12,0,16,Type
WhiteHouse/ndoch-hackathon,16,14,12,1,0,
vasu-1/pygithub-bot,8,1,12,0,2,
adrianhajdin/project_corona_tracker,0,373,12,18,0,
openfoodfacts/hungergames-old,4,2,12,0,2,
casatwy/CTVideoPlayerView,641,81,11,0,5,
btholt/citr-v6-project,487,499,11,6,0,
btholt/complete-intro-to-react-v6,0,223,11,21,13,
ljharb/can-merge,14,3,11,3,12,
EddieHubCommunity/infrastructure,17,2,11,1,2,Type
benawad/astralfans-landing,98,3,11,0,0,
devraj/PassCodeInput,21,2,11,0,3,Swift
iamshaunjp/Complete-React-Tutorial,995,0,11,7,0,
casatwy/CTNetworking,479,104,11,1,0,
donnemartin/data-science-i-notebooks,0,0,11,13,12,
OmkarKandale/pet-clinic,0,0,11,0,0,
iamshaunjp/Complete-React-Tutorial,995,0,11,7,0,
localstack/cockpit,12,0,10,0,2,
stemount/automated-cloud-radio-station,8,1,10,0,0,
localstack/localstack--utils,64,41,10,3,24,
jishanshaikh4/adblocker-ultimate,16,16,10,3,0,
jakearchibald/byte-storage,40,2,10,0,2,
mrdbourke/machine-learning-roadmap,0,0,10,1,0,
education/guide,32,18,10,0,12,
defuse/DAWr,19,0,10,0,0,Rust
openfoodfacts/folksonomy_api,7,5,10,8,5,
trailofbits/ctf,0,248,10,3,18,C
openfoodfacts/community-portal,3,2,10,12,6,
aviaryan/awesome-no-login-web-apps,0,198,9,29,65,Shell
openfoodfacts/off-nutrition-table-extractor,172,66,9,10,8,Jupyter Notebook
openfoodfacts/folksonomy_frontend,1,0,9,0,3,
EddieHubCommunity/DailyTips,16,6,9,0,9,Type
byt3bl33d3r/DeathStar,0,326,9,3,7,
education/GitHubGraduation-2022,0,0,9,484,0,
byt3bl33d3r/chrome-decrypter,251,91,9,2,2,
google/accname,14,3,9,0,6,Type
carloscuesta/gitmoji,0,691,9,0,88,
JayjeetAtGithub/Audition-Management-System,3,8,9,0,2,
adrianhajdin/projects_realestate,749,262,9,0,2,
shreyashankar/gpt3-sandbox,0,757,9,2,12,
jgthms/bulma-start,269,72,9,9,2,CSS
defuse/flush-reload-attacks,155,80,9,1,2,
Tyriar/abbr-fill.js,2,0,9,0,0,
iamshaunjp/firegram,286,237,9,2,0,
yessine-agrebi/Dev-Blog,2,0,9,1,3,
RioChndr/jaksel-language,507,55,9,0,12,
rogeriopvl/downstagram,32,7,9,4,2,
ethereum/clrfund,22,76,9,7,0,Type
antonmedv/countdown,847,79,9,2,8,Go
antonmedv/finder,775,74,9,3,9,
carloscuesta/gitmoji,0,691,9,0,88,
jgthms/bulma-start,269,72,9,9,2,CSS
LiveOverflow/minecraft-hacked,160,16,9,2,2,
kdeldycke/chessboard,7,4,9,0,0,
xoreaxeaxeax/rosenbridge,0,216,9,4,0,C
iamshaunjp/firegram,286,237,9,2,0,
cheeaun/ama,11,634,9,0,0,
jishanshaikh4/assignments,21,1,8,0,2,C++
torvalds/uemacs,898,188,8,11,7,C
anuraghazra/anuraghazra.github.io,405,166,8,12,7,
avikalpg/IndianVotingAssistant,6,1,8,0,0,Jupyter Notebook
google/acai,73,34,8,1,3,
marcoscaceres/bib_entry_maker,0,0,8,0,0,
google/abstracttext,70,11,8,9,2,
feross/bitmidi.com,488,63,8,18,7,
ducc/BorkedMusicBot,0,0,8,0,0,
google/account-provisioning-for-google-apps,50,26,8,5,3,
smaranjitghose/auto_vaidya,18,19,8,0,9,
kaushik-rishi/rocketcp,31,27,8,1,13,
education/graduation,756,0,8,22,0,
AYIDouble/Binary-Calculator-,48,9,8,0,6,
nerdynikhil/bloggy,2,4,8,0,3,Dart
Clueless-Community/clueless-official-website,5,4,8,0,7,Type
idvoretskyi/buildbot,0,0,8,0,5,
QAInsights/apache-jmeter,1,0,8,0,0,
ralexstokes/beacon-api-client,17,10,8,3,7,Rust
xbelanch/llegir-en-xarxa,0,0,8,0,0,
